city,location_lat,location_lng,numberOfGuests,minNights,bedroomLabel,bedLabel,bathroomLabel,stars,pricing,roomType_entire_home,roomType_hotel_room,roomType_private_room,roomType_shared_room,zipcode,district_index
Beyoğlu,41.027,28.979,2,1,1.0,0.0,1.0,4.39,1079.0,1,0,0,0,34421,60.000
Şişli,41.05397,28.99419,3,3,1.0,1.0,1.0,5.0,1400.0,1,0,0,0,34360,54.677
NO:115 TAKSİM,41.04,28.982,2,2,1.0,1.0,1.0,4.8,1399.0,1,0,0,0,34437.0,
Beyoğlu,41.05485955,28.94664165,3,2,1.0,2.0,1.0,4.83,1791.0,1,0,0,0,34421,60.000
Beyoğlu,41.031,28.972,2,4,1.0,1.0,1.0,4.44,1073.0,1,0,0,0,34421,60.000
Beyoğlu,41.036,28.973,4,2,,0.0,1.0,4.94,1470.0,1,0,0,0,34421,60.000
Beyoğlu,41.03639,28.97442,2,2,1.0,1.0,1.0,4.89,1821.0,1,0,0,0,34421,60.000
Kadıköy,40.98697744,29.02381926,2,4,1.0,1.0,1.0,4.95,2087.0,1,0,0,0,34744,88.888
Kadıköy,40.986,29.025,3,101,2.0,2.0,1.0,4.94,1400.0,1,0,0,0,34744,88.888
Üsküdar,41.022,29.01,4,2,1.0,2.0,1.0,5.0,1862.0,1,0,0,0,34660,61.428 
Beyoğlu,41.0374974,28.98238534,2,2,1.0,1.0,1.0,4.29,1032.0,1,0,0,0,34421,60.000
Beyoğlu,41.02677,28.97573,2,100,1.0,1.0,1.0,4.55,1050.0,1,0,0,0,34421,60.000
Beyoğlu,41.034,28.981,4,3,1.0,0.0,1.0,3.8,1036.0,1,0,0,0,34421,60.000
Şişli,41.061,28.966,3,1,1.0,2.0,1.0,4.11,1766.0,1,0,0,0,34360,54.677
Fatih,41.004,28.966,2,1,,1.0,1.0,4.69,1066.0,1,0,0,0,34096,32.000
Fatih,41.00714,28.9565,2,2,1.0,1.0,1.0,4.51,1014.0,1,0,0,0,34096,32.000
Beyoğlu,41.032,28.99,3,2,1.0,1.0,1.0,4.92,1862.0,1,0,0,0,34421,60.000
Beyoğlu,41.03453,28.97272,4,2,,2.0,1.0,4.66,1468.0,1,0,0,0,34421,60.000
Kadıköy,40.994,29.026,3,2,1.0,2.0,1.0,5.0,1766.0,1,0,0,0,34744,88.888
Esenyurt,41.02372,28.65926,4,2,1.0,1.0,1.0,4.77,1447.0,1,0,0,0,34517,21.250
Beyoğlu,41.03017,28.98469,2,4,1.0,1.0,1.0,4.89,1779.0,1,0,0,0,34421,60.000
Fatih,41.006,28.943,4,1,1.0,0.0,1.0,5.0,1438.0,1,0,0,0,34096,32.000
Beyoğlu,41.026,28.977,4,2,2.0,2.0,1.0,4.37,1800.0,1,0,0,0,34421,60.000
Bağcılar,41.05887,28.81228,4,5,1.0,2.0,1.0,4.9,1459.0,1,0,0,0,34200,35.313
Beyoğlu,41.03021291,28.98093682,6,1,3.0,3.0,1.0,4.64,1836.0,1,0,0,0,34421,60.000
Beyoğlu,41.028,28.979,4,2,1.0,1.0,1.0,4.67,1844.0,1,0,0,0,34421,60.000
Bağcılar,41.06383748,28.84449884,3,4,1.0,1.0,1.0,4.92,1468.0,1,0,0,0,34200,35.313
Beyoğlu,41.036,28.973,4,5,1.0,3.0,1.0,4.83,1082.0,1,0,0,0,34421,60.000
Beyoğlu,41.03655,28.98223,3,2,1.0,1.0,1.0,4.81,1477.0,1,0,0,0,34421,60.000
Beyoğlu,41.029,28.971,2,100,1.0,1.0,1.0,5.0,1435.0,1,0,0,0,34421,60.000
Bağcılar,41.05688,28.81261,3,3,1.0,0.0,1.0,4.58,1800.0,1,0,0,0,34200,35.313
Beşiktaş,41.08938,29.03389,2,1,1.0,1.0,1.0,4.27,1833.0,1,0,0,0,34353,88.235
Kadıköy,40.993,29.031,5,102,2.0,3.0,1.0,5.0,2093.0,1,0,0,0,34744,88.888
Beyoğlu,41.02951,28.97914,1,1,2.0,3.0,1.0,4.5,2096.0,1,0,0,0,34421,60.000
Şişli,41.058,28.968,3,3,1.0,2.0,1.0,5.0,1420.0,1,0,0,0,34360,54.677
Bağcılar,41.0553,28.81191,1,1,1.0,1.0,1.0,4.2,2059.0,1,0,0,0,34200,35.313
Sultan Selim caddesi Sanayi mahallesi Kağıthane,41.09361639,28.99451208,3,2,1.0,3.0,1.0,4.74,1399.0,1,0,0,0,34418.0,
